battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
842.0,0.0,2.2,0.0,1.0,0.0,7.0,0.6,188.0,2.0,2.0,20.0,756.0,2549.0,9.0,7.0,19.0,0.0,0.0,1.0,1.0
1021.0,1.0,0.5,1.0,0.0,1.0,53.0,0.7,136.0,3.0,6.0,905.0,1988.0,2631.0,17.0,3.0,7.0,1.0,1.0,0.0,2.0
563.0,1.0,0.5,1.0,2.0,1.0,41.0,0.9,145.0,5.0,6.0,1263.0,1716.0,2603.0,11.0,2.0,9.0,1.0,1.0,0.0,2.0
615.0,1.0,2.5,0.0,0.0,0.0,10.0,0.8,131.0,6.0,9.0,1216.0,1786.0,2769.0,16.0,8.0,11.0,1.0,0.0,0.0,2.0
1821.0,1.0,1.2,0.0,13.0,1.0,44.0,0.6,141.0,2.0,14.0,1208.0,1212.0,1411.0,8.0,2.0,15.0,1.0,1.0,0.0,1.0
1859.0,0.0,0.5,1.0,3.0,0.0,22.0,0.7,164.0,1.0,7.0,1004.0,1654.0,1067.0,17.0,1.0,10.0,1.0,0.0,0.0,1.0
1821.0,0.0,1.7,0.0,4.0,1.0,10.0,0.8,139.0,8.0,10.0,381.0,1018.0,3220.0,13.0,8.0,18.0,1.0,0.0,1.0,3.0
1954.0,0.0,0.5,1.0,0.0,0.0,24.0,0.8,187.0,4.0,0.0,512.0,1149.0,700.0,16.0,3.0,5.0,1.0,1.0,1.0,0.0
1445.0,1.0,0.5,0.0,0.0,0.0,53.0,0.7,174.0,7.0,14.0,386.0,836.0,1099.0,17.0,1.0,20.0,1.0,0.0,0.0,0.0
509.0,1.0,0.6,1.0,2.0,1.0,9.0,0.1,93.0,5.0,15.0,1137.0,1224.0,513.0,19.0,10.0,12.0,1.0,0.0,0.0,0.0
769.0,1.0,2.9,1.0,0.0,0.0,9.0,0.1,182.0,5.0,1.0,248.0,874.0,3946.0,5.0,2.0,7.0,0.0,0.0,0.0,3.0
1520.0,1.0,2.2,0.0,5.0,1.0,33.0,0.5,177.0,8.0,18.0,151.0,1005.0,3826.0,14.0,9.0,13.0,1.0,1.0,1.0,3.0
1815.0,0.0,2.8,0.0,2.0,0.0,33.0,0.6,159.0,4.0,17.0,607.0,748.0,1482.0,18.0,0.0,2.0,1.0,0.0,0.0,1.0
803.0,1.0,2.1,0.0,7.0,0.0,17.0,1.0,198.0,4.0,11.0,344.0,1440.0,2680.0,7.0,1.0,4.0,1.0,0.0,1.0,2.0
1866.0,0.0,0.5,0.0,13.0,1.0,52.0,0.7,185.0,1.0,17.0,356.0,563.0,373.0,14.0,9.0,3.0,1.0,0.0,1.0,0.0
775.0,0.0,1.0,0.0,3.0,0.0,46.0,0.7,159.0,2.0,16.0,862.0,1864.0,568.0,17.0,15.0,11.0,1.0,1.0,1.0,0.0
838.0,0.0,0.5,0.0,1.0,1.0,13.0,0.1,196.0,8.0,4.0,984.0,1850.0,3554.0,10.0,9.0,19.0,1.0,0.0,1.0,3.0
595.0,0.0,0.9,1.0,7.0,1.0,23.0,0.1,121.0,3.0,17.0,441.0,810.0,3752.0,10.0,2.0,18.0,1.0,1.0,0.0,3.0
1131.0,1.0,0.5,1.0,11.0,0.0,49.0,0.6,101.0,5.0,18.0,658.0,878.0,1835.0,19.0,13.0,16.0,1.0,1.0,0.0,1.0
682.0,1.0,0.5,0.0,4.0,0.0,19.0,1.0,121.0,4.0,11.0,902.0,1064.0,2337.0,11.0,1.0,18.0,0.0,1.0,1.0,1.0
772.0,0.0,1.1,1.0,12.0,0.0,39.0,0.8,81.0,7.0,14.0,1314.0,1854.0,2819.0,17.0,15.0,3.0,1.0,1.0,0.0,3.0
1709.0,1.0,2.1,0.0,1.0,0.0,13.0,1.0,156.0,2.0,2.0,974.0,1385.0,3283.0,17.0,1.0,15.0,1.0,0.0,0.0,3.0
1949.0,0.0,2.6,1.0,4.0,0.0,47.0,0.3,199.0,4.0,7.0,407.0,822.0,1433.0,11.0,5.0,20.0,0.0,0.0,1.0,1.0
1602.0,1.0,2.8,1.0,4.0,1.0,38.0,0.7,114.0,3.0,20.0,466.0,788.0,1037.0,8.0,7.0,20.0,1.0,0.0,0.0,0.0
503.0,0.0,1.2,1.0,5.0,1.0,8.0,0.4,111.0,3.0,13.0,201.0,1245.0,2583.0,11.0,0.0,12.0,1.0,0.0,0.0,1.0
961.0,1.0,1.4,1.0,0.0,1.0,57.0,0.6,114.0,8.0,3.0,291.0,1434.0,2782.0,18.0,9.0,7.0,1.0,1.0,1.0,2.0
519.0,1.0,1.6,1.0,7.0,1.0,51.0,0.3,132.0,4.0,19.0,550.0,645.0,3763.0,16.0,1.0,4.0,1.0,0.0,1.0,3.0
956.0,0.0,0.5,0.0,1.0,1.0,41.0,1.0,143.0,7.0,6.0,511.0,1075.0,3286.0,17.0,8.0,12.0,1.0,1.0,0.0,3.0
1453.0,0.0,1.6,1.0,12.0,1.0,52.0,0.3,96.0,2.0,18.0,187.0,1311.0,2373.0,10.0,1.0,10.0,1.0,1.0,1.0,2.0
851.0,0.0,0.5,0.0,3.0,0.0,21.0,0.4,200.0,5.0,7.0,1171.0,1263.0,478.0,12.0,7.0,10.0,1.0,0.0,1.0,0.0
1579.0,1.0,0.5,1.0,0.0,0.0,5.0,0.2,88.0,7.0,9.0,1358.0,1739.0,3532.0,17.0,11.0,12.0,0.0,0.0,1.0,3.0
1568.0,1.0,0.5,0.0,16.0,0.0,33.0,1.0,150.0,8.0,20.0,413.0,654.0,508.0,5.0,1.0,6.0,1.0,1.0,1.0,0.0
1319.0,1.0,0.9,0.0,3.0,1.0,41.0,0.9,107.0,1.0,18.0,85.0,1152.0,2227.0,18.0,5.0,3.0,1.0,1.0,1.0,1.0
1310.0,1.0,2.2,1.0,0.0,1.0,51.0,0.6,100.0,4.0,0.0,178.0,1919.0,3845.0,7.0,0.0,12.0,1.0,1.0,0.0,3.0
644.0,1.0,2.7,0.0,0.0,0.0,22.0,0.7,157.0,8.0,3.0,311.0,881.0,1262.0,12.0,1.0,15.0,1.0,0.0,0.0,0.0
725.0,0.0,1.3,1.0,16.0,0.0,60.0,0.4,160.0,8.0,17.0,1134.0,1249.0,1326.0,10.0,4.0,15.0,1.0,0.0,0.0,1.0
589.0,1.0,2.3,1.0,1.0,0.0,61.0,0.6,160.0,4.0,10.0,429.0,815.0,2113.0,13.0,7.0,2.0,1.0,0.0,1.0,1.0
1725.0,1.0,1.6,1.0,6.0,1.0,6.0,0.5,119.0,2.0,18.0,609.0,1307.0,3429.0,6.0,5.0,4.0,1.0,1.0,0.0,3.0
790.0,0.0,2.0,1.0,16.0,1.0,11.0,0.3,87.0,6.0,17.0,347.0,730.0,3169.0,6.0,1.0,2.0,1.0,0.0,1.0,2.0
560.0,0.0,0.5,1.0,15.0,0.0,50.0,0.3,159.0,2.0,20.0,1448.0,1613.0,2150.0,18.0,12.0,11.0,1.0,1.0,0.0,2.0
1347.0,0.0,2.9,0.0,5.0,0.0,44.0,0.6,132.0,1.0,14.0,434.0,967.0,2484.0,18.0,2.0,11.0,1.0,0.0,1.0,2.0
1646.0,1.0,2.3,0.0,8.0,1.0,41.0,0.2,185.0,2.0,10.0,1725.0,1932.0,3339.0,18.0,10.0,19.0,1.0,1.0,0.0,3.0
1253.0,1.0,0.5,1.0,5.0,1.0,5.0,0.2,152.0,2.0,19.0,685.0,714.0,1878.0,15.0,0.0,4.0,1.0,1.0,0.0,1.0
1656.0,0.0,1.0,0.0,5.0,1.0,34.0,0.1,166.0,3.0,7.0,880.0,1456.0,1629.0,15.0,12.0,14.0,1.0,1.0,0.0,1.0
1195.0,1.0,2.8,0.0,1.0,1.0,20.0,0.8,110.0,2.0,14.0,1580.0,1652.0,504.0,9.0,3.0,12.0,1.0,1.0,0.0,0.0
1514.0,0.0,2.9,0.0,0.0,0.0,27.0,0.2,118.0,3.0,1.0,186.0,1810.0,1152.0,8.0,3.0,20.0,0.0,1.0,1.0,1.0
1723.0,1.0,1.1,1.0,1.0,0.0,42.0,1.0,164.0,8.0,14.0,202.0,1791.0,3587.0,10.0,5.0,3.0,1.0,0.0,0.0,3.0
1054.0,1.0,1.8,1.0,3.0,1.0,40.0,0.8,196.0,7.0,10.0,27.0,774.0,2296.0,16.0,12.0,12.0,1.0,0.0,1.0,1.0
578.0,1.0,2.6,1.0,2.0,1.0,57.0,0.2,162.0,8.0,8.0,1025.0,1433.0,1270.0,15.0,3.0,5.0,1.0,0.0,1.0,0.0
596.0,0.0,2.1,1.0,9.0,0.0,64.0,0.8,111.0,8.0,15.0,885.0,1854.0,3238.0,16.0,13.0,10.0,0.0,0.0,0.0,3.0
1547.0,1.0,3.0,1.0,2.0,1.0,14.0,0.7,198.0,3.0,19.0,1042.0,1832.0,2059.0,5.0,0.0,15.0,1.0,0.0,1.0,2.0
1760.0,0.0,1.4,1.0,5.0,0.0,63.0,0.8,127.0,8.0,19.0,1382.0,1383.0,2053.0,19.0,12.0,16.0,0.0,1.0,0.0,2.0
1654.0,1.0,1.5,1.0,0.0,1.0,43.0,0.3,109.0,2.0,0.0,546.0,629.0,3112.0,12.0,5.0,10.0,1.0,1.0,0.0,3.0
1457.0,0.0,1.9,1.0,1.0,1.0,16.0,0.3,102.0,3.0,10.0,1013.0,1287.0,1440.0,17.0,8.0,12.0,1.0,0.0,1.0,1.0
1073.0,1.0,0.5,1.0,0.0,0.0,51.0,0.5,145.0,7.0,0.0,690.0,804.0,2908.0,6.0,0.0,18.0,0.0,1.0,0.0,2.0
1936.0,0.0,2.1,1.0,10.0,1.0,46.0,0.6,104.0,3.0,20.0,667.0,1036.0,2552.0,14.0,7.0,13.0,1.0,0.0,0.0,2.0
823.0,1.0,2.7,1.0,13.0,0.0,60.0,0.5,148.0,8.0,19.0,822.0,1449.0,905.0,14.0,11.0,17.0,1.0,1.0,1.0,0.0
987.0,0.0,1.3,1.0,0.0,1.0,61.0,0.4,107.0,3.0,9.0,581.0,820.0,3963.0,9.0,4.0,20.0,1.0,0.0,1.0,3.0
1757.0,0.0,0.5,0.0,8.0,0.0,49.0,0.5,180.0,6.0,14.0,265.0,713.0,2056.0,7.0,5.0,4.0,0.0,0.0,0.0,1.0
1063.0,0.0,1.4,1.0,2.0,1.0,48.0,1.0,128.0,5.0,4.0,127.0,683.0,2910.0,15.0,13.0,9.0,1.0,1.0,1.0,2.0
1484.0,0.0,3.0,0.0,3.0,0.0,12.0,0.6,134.0,3.0,5.0,916.0,969.0,1457.0,14.0,4.0,20.0,1.0,1.0,0.0,1.0
799.0,1.0,2.3,0.0,1.0,1.0,63.0,0.8,144.0,8.0,6.0,361.0,975.0,431.0,15.0,6.0,6.0,1.0,1.0,1.0,0.0
1156.0,1.0,1.2,1.0,0.0,1.0,50.0,0.8,159.0,2.0,0.0,322.0,547.0,470.0,7.0,0.0,15.0,1.0,1.0,0.0,0.0
1720.0,0.0,2.0,0.0,15.0,1.0,55.0,0.5,168.0,2.0,18.0,753.0,1353.0,2148.0,14.0,2.0,5.0,1.0,1.0,1.0,2.0
702.0,0.0,2.6,1.0,2.0,1.0,9.0,0.7,141.0,3.0,3.0,504.0,1570.0,2955.0,10.0,4.0,19.0,1.0,0.0,0.0,2.0
616.0,0.0,1.9,1.0,13.0,1.0,44.0,0.8,81.0,3.0,17.0,651.0,1618.0,3366.0,18.0,8.0,13.0,1.0,1.0,0.0,3.0
1358.0,1.0,0.5,0.0,11.0,1.0,36.0,0.3,155.0,4.0,14.0,1565.0,1858.0,3068.0,9.0,4.0,4.0,1.0,1.0,0.0,3.0
1866.0,0.0,1.4,0.0,0.0,0.0,30.0,0.5,182.0,3.0,0.0,108.0,1781.0,3834.0,16.0,11.0,8.0,0.0,0.0,0.0,3.0
1242.0,0.0,1.1,1.0,0.0,0.0,10.0,0.6,165.0,2.0,1.0,459.0,1225.0,1050.0,11.0,1.0,4.0,1.0,0.0,1.0,0.0
